Config_Name,Pass@1,AUROC,TPR(FPR<0.1%),TPR(FPR<1%),TPR(FPR<5%)
g0.4_d2.5_t0.8_w0.7,0.2683,0.7903219809637121,0.1951219512195122,0.32926829268292684,0.4146341463414634,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.4_d2.5_t0.8_w0.8,0.2744,0.7927201070791196,0.18902439024390244,0.22560975609756098,0.5304878048780488,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.4_d3.0_t0.5_w0.7,0.2384,0.817705234979179,0.2621951219512195,0.39634146341463417,0.5548780487804879,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.4_d3.0_t0.5_w0.8,0.2409,0.7994869125520523,0.23170731707317074,0.3231707317073171,0.5365853658536586,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.4_d3.0_t0.6_w0.7,0.2415,0.8253085960737656,0.2682926829268293,0.42073170731707316,0.5609756097560976,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.4_d3.0_t0.6_w0.8,0.2451,0.8066812908982748,0.2926829268292683,0.29878048780487804,0.6219512195121951,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.4_d3.0_t0.8_w0.7,0.2451,0.7996356335514575,0.3048780487804878,0.4146341463414634,0.4878048780487805,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.4_d3.0_t0.8_w0.8,0.2494,0.7910841760856632,0.21951219512195122,0.2682926829268293,0.5853658536585366,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.4_d3.5_t0.5_w0.7,0.1945,0.8282830160618679,0.35365853658536583,0.4878048780487805,0.6036585365853658,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.4_d3.5_t0.5_w0.8,0.2049,0.8231149613325401,0.3597560975609756,0.4573170731707317,0.6158536585365854,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d1.5_t0.3_w0.7,0.3024,0.748866002379536,0.20121951219512196,0.20121951219512196,0.35365853658536583,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d2.5_t0.5_w0.7,0.2912,0.8565028256989886,0.5060975609756098,0.5121951219512195,0.5975609756097561,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d2.5_t0.5_w0.8,0.2951,0.8301977989292086,0.4329268292682927,0.4451219512195122,0.6158536585365854,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
